"filename", "language", "Properties", "Markdown", "JavaScript", "JSON", "JavaScript JSX", "SCSS", "CSS", "SQL", "JSON with Comments", "HTML", "comment", "blank", "total"
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\form-field\FormField.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 6, 40
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\form-field\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\full-page-wrapper\FullPageWrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\full-page-wrapper\full-page-wrapper.module.css", "CSS", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\full-page-wrapper\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\input-form\InputForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\input-form\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\input-global\InputGlobal.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\input-global\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\loadable\Loadable.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\loadable\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\modal\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\modal\Modal.scss", "SCSS", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\modal\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\multi-step-button\MultiStepButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\multi-step-button\MultiStepButton.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 3, 25
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\multi-step-button\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\navigation-modal-button\NavigationModalButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\navigation-modal-button\NavigationModalButton.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 3, 25
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\navigation-modal-button\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\spinner\Spinner.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\spinner\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\spinner\spinner.module.css", "CSS", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 6, 41
"d:\Coding\ProjectFullStack\Twinki-social\client\src\widgets\modal-auth\ModalAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Coding\ProjectFullStack\Twinki-social\client\src\widgets\modal-auth\index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Coding\ProjectFullStack\Twinki-social\client\src\widgets\modal-auth\login\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 31
"d:\Coding\ProjectFullStack\Twinki-social\client\src\widgets\modal-auth\password-reset\PasswordReset.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
